source,spectral_type_string,2MASS.H,2MASS.J,2MASS.Ks,ACAM.i,ACAM.z,Cousins.I,Cousins.R,DENIS.I,DENIS.J,DENIS.Ks,GAIA2.G,GAIA2.Grp,GAIA3.G,GAIA3.Grp,GALEX.NUV,IRAC.I1,IRAC.I2,IRAC.I3,IRAC.I4,JWST/MIRI.F1000W,JWST/MIRI.F1280W,JWST/MIRI.F1500W,JWST/MIRI.F1800W,JWST/MIRI.F2100W,Johnson.V,MIPS.24mu,NACO.Lp,NICMOS1.F090M,NICMOS1.F110W,NIRI.Y,NSFCam.H,NSFCam.J,NSFCam.K,NSFCam.Lp,NSFCam.Mp,PAN-STARRS/PS1.g,PAN-STARRS/PS1.i,PAN-STARRS/PS1.r,PAN-STARRS/PS1.y,PAN-STARRS/PS1.z,SDSS.g,SDSS.i,SDSS.r,SDSS.u,SDSS.z,UFTI.H,UFTI.J,UFTI.K,UFTI.Y,UKIDSS.H,UKIDSS.J,UKIDSS.K,UKIDSS.Y,VISTA.H,VISTA.J,VISTA.Ks,VISTA.Y,VisAO.Ys,WFCAM.H,WFCAM.J,WFCAM.K,WFCAM.Y,WISE.W1,WISE.W2,WISE.W3,WISE.W4,Wircam.Y
2MASS J00154476+3516026,L2,12.892,13.88,12.264,,,,,,,,18.68182945251465,17.075353622436523,18.667972564697266,17.089599609375,,,,,,,,,,,,,,,,,,,,,,,18.18,20.38,15.88,16.81,,,,,,,,,,,,,,,,,,,12.962,13.706,12.189,,11.763,11.534,10.949,9.068,
2MASS J00165953-4056541,L3.5,14.206,15.32,13.432,,,,,,,,20.60076904296875,18.96405029296875,20.553142547607422,19.014488220214844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.293,15.25,13.408,16.594,12.808,12.437,12.795,9.62,
2MASS J00165953-4056541,L4.5:,14.206,15.32,13.432,,,,,,,,20.60076904296875,18.96405029296875,20.553142547607422,19.014488220214844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.293,15.25,13.408,16.594,12.808,12.437,12.795,9.62,
2MASS J00182834-6703130,L0.4 VL-G,14.48,15.457,13.71,,,,,,,,20.631118774414062,18.915842056274414,20.593135833740234,19.10001564025879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.143,12.79,12.614,,
2MASS J00184613-6356122,L2,14.23,15.22,13.61,,,,,,,,19.992353439331055,18.361431121826172,19.96708869934082,18.390663146972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.264,13.004,12.489,9.315,
2MASS J00191296-6226005,L1.0 VL-G,14.618,15.64,13.96,,,,,,,,20.96761131286621,19.150577545166016,,19.341766357421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.348,12.956,12.37,,
2MASS J00193927-3724392,L2.2 INT-G,14.47,15.52,13.689,,,,,,,,20.70186424255371,19.016300201416016,20.770973205566406,19.025415420532227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.551,15.467,13.669,16.735,13.135,12.8,12.54,9.177,
2MASS J00193927-3724392,L3:,14.47,15.52,13.689,,,,,,,,20.70186424255371,19.016300201416016,20.770973205566406,19.025415420532227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.551,15.467,13.669,16.735,13.135,12.8,12.54,9.177,
2MASS J00250365+4759191,L4:,13.667,14.84,12.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.17,18.2,,,,,,,,,,,,,,,,,,,13.71,14.72,12.85,,,11.608,11.364,,
2MASS J00274197+0503417,L0: INT-G,15.288,16.189,14.964,,,,,,,,21.030691146850586,,20.972335815429688,19.52791976928711,,,,,,,,,,,,,,,,,,,,,,,20.57,22.01,18.09,19.08,22.80589,20.21885,22.02411,23.33056,18.5298,,,,,,,,,,,,,,15.517,16.142,14.94,17.176,14.587,14.071,12.509,9.056,
2MASS J00282091+2249050,L7:,14.47,15.61,13.78,,,,,,,,20.88951873779297,19.188135147094727,20.827760696411133,19.295930862426758,,,,,,,,,,,,,,,,,,,,,,,20.7,,17.77,18.78,,,,,,,,,,,,,,,,,,,,15.482,13.659,,13.113,12.855,11.896,9.045,
2MASS J00285545-1927165,L0.7,13.33,14.191,12.85,,,,,,,,18.98805809020996,17.32316780090332,18.971988677978516,17.39497947692871,,,,,,,,,,,,,,,,,,,,,,,18.55,20.95,16.1,17.08,,,,,,,,,,,,,,,,,,,13.401,14.139,12.825,15.247,12.504,12.233,11.831,9.187,
2MASS J00285545-1927165,L0:,13.33,14.191,12.85,,,,,,,,18.98805809020996,17.32316780090332,18.971988677978516,17.39497947692871,,,,,,,,,,,,,,,,,,,,,,,18.55,20.95,16.1,17.08,,,,,,,,,,,,,,,,,,,13.401,14.139,12.825,15.247,12.504,12.233,11.831,9.187,
2MASS J00303013-1450333,L6: FLD-G,15.273,16.278,14.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.67,,18.83,19.77,,,,,,15.37,16.39,14.49,,,,,,,,,,,15.37,16.39,14.49,17.61,13.657,13.263,12.275,9.149,
2MASS J00303013-1450333,L7,15.273,16.278,14.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.67,,18.83,19.77,,,,,,15.37,16.39,14.49,,,,,,,,,,,15.37,16.39,14.49,17.61,13.657,13.263,12.275,9.149,
2MASS J00310928+5749364,L9,13.78,14.95,13.215,,,,,,,,,,,,,,11.89,,,,,,,,,,,,,,,,,,,,21.36,,17.0,18.21,,,,,,,,,,,,,,,,,,,13.862,14.769,13.178,,12.504,11.928,10.96,,
2MASS J00311925-3840356,L2 pec (blue),13.399,14.101,12.924,,,,,,,,19.07015037536621,17.396780014038086,19.063798904418945,17.47770881652832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.469,14.04,12.905,15.164,12.327,12.039,11.556,,
2MASS J00311925-3840356,L2.5,13.399,14.101,12.924,,,,,,,,19.07015037536621,17.396780014038086,19.063798904418945,17.47770881652832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.469,14.04,12.905,15.164,12.327,12.039,11.556,,
2MASS J00320509+0219017,L1.5,13.386,14.324,12.802,,,,,,,,19.18217658996582,17.55250358581543,19.19315528869629,17.638023376464844,,,,,,,,,,,,,,,,,,,,,,,18.67,20.88,16.34,17.3,,,,,,,,,,,,,,,,,,,13.446,14.22,12.797,15.443,12.457,12.226,11.965,,
2MASS J00325584-4405058,L0 gamma,13.86,14.776,13.269,,,,,,,,19.781335830688477,18.07130241394043,19.766328811645508,18.205846786499023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,14.68,13.23,15.814,12.82,12.49,11.726,9.289,
2MASS J00325584-4405058,L0: VL-G,13.86,14.776,13.269,,,,,,,,19.781335830688477,18.07130241394043,19.766328811645508,18.205846786499023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,14.68,13.23,15.814,12.82,12.49,11.726,9.289,
2MASS J00325937+1410371,L9,15.648,16.83,14.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.82,20.04,,,,,,,,,,,,,,,,,,,15.689,16.645,15.002,17.83,14.225,13.68,,,
2MASS J00332386-1521309,L1: FLD-G,14.208,15.286,13.41,,,,,,15.202,13.566,20.354894638061523,18.667083740234375,20.30203628540039,18.79078483581543,,12.54,12.48,12.21,12.04,,,,,,,,,,,,,,,,,,19.83,21.77,17.47,18.4,,,,,,,,,,,,,,,,,,,14.257,15.221,13.386,16.381,12.794,12.479,11.848,8.879,
2MASS J00332386-1521309,L4 beta,14.208,15.286,13.41,,,,,,15.202,13.566,20.354894638061523,18.667083740234375,20.30203628540039,18.79078483581543,,12.54,12.48,12.21,12.04,,,,,,,,,,,,,,,,,,19.83,21.77,17.47,18.4,,,,,,,,,,,,,,,,,,,14.257,15.221,13.386,16.381,12.794,12.479,11.848,8.879,
2MASS J00344300-4102266,L1.5 VL-G,14.807,15.707,14.084,,,,,,,,20.92400550842285,19.141738891601562,20.85902976989746,19.31587791442871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.518,13.136,12.475,,
