model,dataset,rmse,r2,within_1,within_2
Linear Regressor,2-band,2.1971787211688913,0.7272885467998235,0.5387096774193548,0.7870967741935484
Linear Regressor,3-band,2.1971787211688913,0.7272885467998235,0.5387096774193548,0.7870967741935484
Random Forest,2-band,2.1269999469907788,0.892471718701953,0.6791044776119403,0.8451492537313433
Random Forest,3-band,2.1269999469907788,0.8849292690015332,0.7598784194528876,0.933130699088146
MLP Regressor,2-band,1.9543425492022215,0.910936559298018,0.6548507462686567,0.835820895522388
MLP Regressor,3-band,4.155455714377728,0.15128391957392073,0.7416413373860182,0.9148936170212766
XGB Regressor,2-band,2.101986971870949,0.8969713204413048,0.7126865671641791,0.8600746268656716
XGB Regressor,3-band,0.91047241017123,0.8687338827888291,0.9361702127659576,0.9817629179331308
Tuned XGB Regressor,2-band,1.865528729777341,0.9188474861637363,0.7052238805970149,0.8731343283582089
