source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
2MASSW J0740096+321203,L4.0,74.0,14.862,16.191,14.222,13.481,13.196
2MASSW J0740096+321203,L4.5,74.5,14.862,16.191,14.222,13.481,13.196
2MASSW J0801405+462850,L5.5,75.5,15.452,16.275,14.536,14.023,13.81
2MASSW J0801405+462850,L6,76.0,15.452,16.275,14.536,14.023,13.81
2MASSW J0801405+462850,L6.5,76.5,15.452,16.275,14.536,14.023,13.81
2MASSW J0829066+145622,L1.0,71.0,13.801,14.75,13.166,12.798,12.559
2MASSW J0829066+145622,L2,72.0,13.801,14.75,13.166,12.798,12.559
2MASSW J0829570+265510,L6.4::,76.4,15.807,17.109,14.959,13.908,13.468
2MASSW J0829570+265510,L6.5,76.5,15.807,17.109,14.959,13.908,13.468
2MASSW J0832045-012835,L1.5,71.5,13.318,14.128,12.712,12.414,12.171
2MASSW J0832045-012835,L1:,71.0,13.318,14.128,12.712,12.414,12.171
2MASSW J0913032+184150,L3,73.0,14.844,15.966,14.279,13.786,13.527
2MASSW J0918382+213406,L2.5,72.5,,15.662,13.903,13.419,13.145
2MASSW J0918382+213406,L2.7,72.7,,15.662,13.903,13.419,13.145
2MASSW J0944027+313132,L1.7,71.7,14.629,15.495,14.007,,13.264
2MASSW J0944027+313132,L2,72.0,14.629,15.495,14.007,,13.264
2MASSW J1035245+250745,L1,71.0,13.911,14.758,13.286,12.992,12.746
2MASSW J1035245+250745,L1.1,71.1,13.911,14.758,13.286,12.992,12.746
2MASSW J1102337-235945,L4.5,74.5,15.554,16.722,14.593,14.104,13.781
2MASSW J1122362-391605,L3,73.0,14.682,15.705,13.875,13.505,13.238
2MASSW J1122362-391605,L3.7::,73.7,14.682,15.705,13.875,13.505,13.238
2MASSW J1123556+412228,L2.5,72.5,15.088,16.074,14.341,13.822,13.499
2MASSW J1145572+231730,L1.5,71.5,14.549,15.385,13.945,13.52,13.28
2MASSW J1246467+402715,L4,74.0,13.942,15.088,13.281,12.588,12.224
2MASSW J1246467+402715,L4.0,74.0,13.942,15.088,13.281,12.588,12.224
2MASSW J1326201-272937,L5,75.0,14.741,15.847,13.852,12.844,12.375
2MASSW J1326201-272937,L6.6:,76.6,14.741,15.847,13.852,12.844,12.375
2MASSW J1334062+194034,L1.5,71.5,14.833,15.48,14.0,13.662,13.419
2MASSW J1338261+414034,L2.4,72.4,13.311,14.221,12.771,12.309,12.053
2MASSW J1338261+414034,L2.5,72.5,13.311,14.221,12.771,12.309,12.053
2MASSW J1342236+175156,L2.5,72.5,15.049,16.135,14.59,13.976,13.705
2MASSW J1411175+393636,L1.5,71.5,13.772,14.64,13.239,12.791,12.547
2MASSW J1412244+163312,L0.5,70.5,13.15,13.888,12.521,12.179,11.942
2MASSW J1438549-130910,L3:,73.0,14.504,15.49,13.863,13.321,13.023
2MASSW J1439409+182637,L1,71.0,15.454,16.22,14.542,14.335,14.122
2MASSW J1449378+235537,L0,70.0,15.004,15.818,14.311,14.172,13.958
2MASSW J1553214+210907,L5.5,75.5,15.337,16.703,14.678,13.793,13.338
2MASSW J1553214+210907,L6.6:,76.6,15.337,16.703,14.678,13.793,13.338
2MASSW J1615441+355900,L3,73.0,13.515,14.539,12.935,12.673,12.335
2MASSW J1615441+355900,L3.6,73.6,13.515,14.539,12.935,12.673,12.335
2MASSW J1645221-131951,L1.5,71.5,11.685,12.451,11.145,10.828,10.562
2MASSW J1743415+212707,L2.4,72.4,14.785,15.83,14.321,,13.253
2MASSW J1743415+212707,L2.5,72.5,14.785,15.83,14.321,,13.253
54 Psc B,T7.5,87.5,16.661,16.595,16.734,,
DENIS J0006579-643654,L0,70.0,12.66,13.385,12.17,11.715,11.424
DENIS J0230450-095305,L0,70.0,13.91,14.82,13.403,12.941,12.72
DENIS J0230450-095305,L0.9,70.9,13.91,14.82,13.403,12.941,12.72
DENIS J031433.1-462339,L2,72.0,13.92,14.753,13.338,13.008,12.749
DENIS J1004403-131818,L1:,71.0,13.883,14.685,13.357,12.766,12.5
DENIS J1019245-270717,L0.5,70.5,12.906,13.526,12.471,12.256,11.964
DENIS J1206501-393725,L1.9,71.9,13.598,14.316,13.094,12.785,12.526
DENIS J1206501-393725,L2,72.0,13.598,14.316,13.094,12.785,12.526
DENIS J1707252-013809,L0.5,70.5,13.566,14.289,13.067,12.596,12.365
DENIS J1707252-013809,L1.0,71.0,13.566,14.289,13.067,12.596,12.365
DENIS-P J0716478-063037,L1.1,71.1,13.068,13.9,12.56,12.186,12.015
DENIS-P J0716478-063037,L1:,71.0,13.068,13.9,12.56,12.186,12.015
DENIS-P J0812316-244442,L0.9,70.9,12.929,13.817,12.391,12.013,11.854
DENIS-P J0812316-244442,L2.5:,72.5,12.929,13.817,12.391,12.013,11.854
DENIS-P J0823031-491201,L1.5,71.5,12.636,13.547,12.062,11.419,11.131
DENIS-P J090957.1-065806,L0,70.0,13.09,13.89,12.539,12.237,11.989
