source,spectral_type_string,spectral_type_code,J,H,Ks,W1,W2,JH,HK,JK,W1W2,KW1,KW2
PSO J004.1834+23.0741,T0,80.0,,,,14.41,13.792,,,,0.6180000000000003,,
PSO J004.6359+56.8370,T4.5,84.5,,,,15.454,14.257,,,,1.197000000000001,,
PSO J004.7148+51.8918,L7,77.0,,,,13.608,13.098,,,,0.5099999999999998,,
PSO J004.7818+41.0231,L0.1: FLD-G,70.1,14.15,13.489,13.077,12.733,12.477,0.6609999999999996,0.4120000000000008,1.0730000000000004,0.2560000000000002,0.3439999999999994,0.5999999999999996
PSO J005.6302-06.8669,T3,83.0,,,,14.463,13.702,,,,0.7609999999999992,,
PSO J007.9194+33.5961,L9,79.0,16.45,15.43,14.49,13.682,13.268,1.0199999999999996,0.9399999999999995,1.959999999999999,0.4139999999999997,0.8079999999999998,1.2219999999999995
PSO J011.1793-03.7847,T2,82.0,,,,14.783,13.742,,,,1.0409999999999986,,
PSO J023.8557+02.0884,L9.5,79.5,16.622,15.481,15.123,14.333,13.907,1.141,0.35800000000000054,1.4990000000000006,0.42600000000000016,0.7899999999999991,1.2159999999999993
PSO J024.4369+09.1360,T3.5,83.5,,,,15.603,14.464,,,,1.1389999999999993,,
PSO J031.5651+20.9097,T5.5,85.5,,,,16.271,14.71,,,,1.561,,
PSO J039.6352-21.7746,L2.6: INT-G,72.6,,,,13.407,13.135,,,,0.27200000000000024,,
PSO J041.5426+01.9456,L8.5,78.5,,,,14.248,13.71,,,,0.5379999999999985,,
PSO J048.9806+07.5414,L6: (blue),76.0,17.02,15.83,15.43,14.848,14.491,1.1899999999999995,0.40000000000000036,1.5899999999999999,0.3570000000000011,0.581999999999999,0.9390000000000001
PSO J049.1124+17.0885,L9.5,79.5,16.96,16.39,15.75,15.206,14.731,0.5700000000000003,0.6400000000000006,1.2100000000000009,0.47499999999999964,0.5440000000000005,1.0190000000000001
PSO J049.1159+26.8409,T2.5,82.5,16.585,15.592,15.5,14.984,13.928,0.9930000000000003,0.09200000000000053,1.0850000000000009,1.0559999999999992,0.516,1.5719999999999992
PSO J052.2746+13.3754,T3.5,83.5,16.479,15.837,15.606,15.386,14.302,0.6419999999999995,0.23099999999999987,0.8729999999999993,1.0839999999999996,0.22000000000000064,1.3040000000000003
PSO J052.7214-03.8409,L9:,79.0,16.47,15.16,14.71,13.671,13.035,1.3099999999999987,0.4499999999999993,1.759999999999998,0.6359999999999992,1.0390000000000015,1.6750000000000007
PSO J054.8149-11.7792,L3:,73.0,16.79,15.83,15.06,14.44,14.074,0.9599999999999991,0.7699999999999996,1.7299999999999986,0.36599999999999966,0.620000000000001,0.9860000000000007
PSO J055.0493-21.1704,T2,82.0,,,,15.44,14.507,,,,0.9329999999999998,,
PSO J057.2893+15.2433,L7 (red),77.0,,,,13.818,13.254,,,,0.5640000000000001,,
PSO J060.3200+25.9645,L1: VL-G,71.0,,,,14.944,14.356,,,,0.588000000000001,,
PSO J062.3459+11.1794,T3.5,83.5,,,,15.222,14.138,,,,1.0839999999999996,,
PSO J069.7303+04.3834,T2,82.0,16.436,15.812,14.9,14.26,13.617,0.6240000000000006,0.911999999999999,1.5359999999999996,0.6429999999999989,0.6400000000000006,1.2829999999999995
PSO J071.4708+36.4930,L6:,76.0,16.83,15.78,15.03,14.189,13.762,1.049999999999999,0.75,1.799999999999999,0.4269999999999996,0.8409999999999993,1.267999999999999
PSO J077.1034+24.3810,L2: VL-G,72.0,,,,15.15,14.716,,,,0.43400000000000105,,
PSO J078.9904+31.0171,L1.5 VL-G,71.5,,,,14.706,14.111,,,,0.5949999999999989,,
PSO J085.1080-18.0445,T5,85.0,,,,15.808,14.301,,,,1.5069999999999997,,
PSO J087.7749-12.6537,L8,78.0,16.63,15.69,14.71,13.825,13.46,0.9399999999999995,0.9799999999999986,1.9199999999999982,0.36499999999999844,0.8850000000000016,1.25
PSO J088.0452+43.2123,L4 pec,74.0,16.37,15.48,14.87,14.164,13.779,0.8900000000000006,0.6100000000000012,1.5000000000000018,0.3849999999999998,0.7059999999999995,1.0909999999999993
PSO J088.3324-24.4439,L1:,71.0,,,,15.435,15.133,,,,0.3020000000000014,,
PSO J088.5709-00.1430,T4.5,84.5,,,,15.532,14.348,,,,1.1839999999999993,,
PSO J089.1751-09.4513,T5.5,85.5,,,,16.06,14.556,,,,1.5039999999999996,,
PSO J103.0927+41.4601,T0,80.0,15.48,14.46,13.89,13.138,12.47,1.0199999999999996,0.5700000000000003,1.5899999999999999,0.6679999999999993,0.7520000000000007,1.42
PSO J108.4590+38.2086,L7,77.0,16.92,15.72,14.92,13.973,13.491,1.200000000000001,0.8000000000000007,2.0000000000000018,0.4820000000000011,0.9469999999999992,1.4290000000000003
PSO J109.4864+46.5278,T0,80.0,,,,15.28,14.85,,,,0.4299999999999997,,
PSO J117.0600-01.6779,T5.5,85.5,,,,16.275,14.574,,,,1.7009999999999987,,
PSO J127.4696+10.5777,L4,74.0,,,,14.626,14.184,,,,0.44200000000000017,,
PSO J127.5648-11.1861,T3,83.0,,,,15.162,13.982,,,,1.1800000000000015,,
PSO J133.8016-02.5658,T0 pec,80.0,16.1,15.31,14.96,14.157,13.632,0.7900000000000009,0.34999999999999964,1.1400000000000006,0.5250000000000004,0.8030000000000008,1.3280000000000012
PSO J135.0395+32.0845,L1.5 FLD-G,71.5,15.84,15.1,14.5,,,0.7400000000000002,0.5999999999999996,1.3399999999999999,,,
PSO J135.7840+16.9932,T0 pec,80.0,16.49,15.78,15.48,14.511,13.99,0.7099999999999991,0.29999999999999893,1.009999999999998,0.520999999999999,0.9690000000000012,1.4900000000000002
PSO J136.5380-14.3267,T3.5,83.5,,,,15.623,14.533,,,,1.0899999999999999,,
PSO J136.5494-06.1944,L2 pec FLD-G,72.0,14.82,14.13,13.66,13.265,12.859,0.6899999999999995,0.47000000000000064,1.1600000000000001,0.4060000000000006,0.3949999999999996,0.8010000000000002
PSO J143.6774-29.8356,L1,71.0,16.41,16.05,15.21,14.907,14.636,0.35999999999999943,0.8399999999999999,1.1999999999999993,0.2710000000000008,0.3030000000000008,0.5740000000000016
PSO J146.0144+05.1319,L1 FLD-G,71.0,16.807,15.984,15.634,15.139,14.917,0.8229999999999986,0.34999999999999964,1.1729999999999983,0.22199999999999953,0.495000000000001,0.7170000000000005
PSO J147.5092-27.6337,L0.5,70.5,16.89,16.22,15.46,15.335,15.008,0.6700000000000017,0.759999999999998,1.4299999999999997,0.32700000000000173,0.125,0.45200000000000173
PSO J149.0341-14.7857,L9,79.0,16.276,15.059,14.219,13.551,12.821,1.2170000000000005,0.8399999999999999,2.0570000000000004,0.7300000000000004,0.6679999999999993,1.3979999999999997
PSO J149.1907-19.1730,L5 pec,75.0,15.208,14.323,13.853,13.246,12.944,0.8849999999999998,0.47000000000000064,1.3550000000000004,0.3019999999999996,0.6069999999999993,0.9089999999999989
PSO J152.2977+15.9912,L1.5,71.5,16.885,15.575,15.447,15.07,14.716,1.3100000000000023,0.1280000000000001,1.4380000000000024,0.354000000000001,0.3769999999999989,0.7309999999999999
PSO J158.1597+05.2231,L2 (blue) FLD-G,72.0,,,,14.897,14.613,,,,0.2840000000000007,,
PSO J159.0433-27.6357,L2,72.0,15.92,15.31,14.62,14.415,14.121,0.6099999999999994,0.6900000000000013,1.3000000000000007,0.2939999999999987,0.20500000000000007,0.4989999999999988
PSO J159.2399-26.3885,T1.5,81.5,16.81,16.01,15.3,14.651,14.016,0.7999999999999972,0.7100000000000009,1.509999999999998,0.6349999999999998,0.6490000000000009,1.2840000000000007
PSO J160.0416-21.3281,T2 pec,82.0,16.58,16.06,15.47,14.956,14.235,0.5199999999999996,0.5899999999999981,1.1099999999999977,0.7210000000000001,0.5140000000000011,1.2350000000000012
PSO J167.1132+08.6331,L8,78.0,16.581,15.5,15.033,14.167,13.729,1.0809999999999995,0.4670000000000005,1.548,0.4380000000000006,0.8659999999999997,1.3040000000000003
PSO J168.1800-27.2264,T2.5,82.5,,,,16.171,15.233,,,,0.9379999999999988,,
